# instance name, instance size, runtime
Random_3SAT_200Literals_1234567_0.cnf,200,0.000745
Random_3SAT_200Literals_1234567_1.cnf,200,0.001968
Random_3SAT_200Literals_1234567_2.cnf,200,0.001892
Random_3SAT_200Literals_1234567_3.cnf,200,0.000916
Random_3SAT_200Literals_1234567_4.cnf,200,0.000882
Random_3SAT_200Literals_1234567_5.cnf,200,0.004563
Random_3SAT_200Literals_1234567_6.cnf,200,0.025883
Random_3SAT_200Literals_1234567_7.cnf,200,0.000301
Random_3SAT_200Literals_1234567_8.cnf,200,0.002756
Random_3SAT_200Literals_1234567_9.cnf,200,0.000582
Random_3SAT_200Literals_1234567_10.cnf,200,0.001178
Random_3SAT_200Literals_1234567_11.cnf,200,0.007908
Random_3SAT_200Literals_1234567_12.cnf,200,0.019632
Random_3SAT_200Literals_1234567_13.cnf,200,0.000342
Random_3SAT_200Literals_1234567_14.cnf,200,0.004342
Random_3SAT_200Literals_1234567_15.cnf,200,0.001793
Random_3SAT_200Literals_1234567_16.cnf,200,0.000494
Random_3SAT_200Literals_1234567_17.cnf,200,0.002696
Random_3SAT_200Literals_1234567_18.cnf,200,0.003196
Random_3SAT_200Literals_1234567_19.cnf,200,0.012072
Random_3SAT_200Literals_1234567_20.cnf,200,0.000787
Random_3SAT_200Literals_1234567_21.cnf,200,0.000652
Random_3SAT_200Literals_1234567_22.cnf,200,0.002316
Random_3SAT_200Literals_1234567_23.cnf,200,0.001278
Random_3SAT_200Literals_1234567_24.cnf,200,0.003912
Random_3SAT_200Literals_1234567_25.cnf,200,0.008712
Random_3SAT_200Literals_1234567_26.cnf,200,0.006597
Random_3SAT_200Literals_1234567_27.cnf,200,0.000511
Random_3SAT_200Literals_1234567_28.cnf,200,0.000672
Random_3SAT_200Literals_1234567_29.cnf,200,0.000693
Random_3SAT_200Literals_1234567_30.cnf,200,0.002730
Random_3SAT_200Literals_1234567_31.cnf,200,0.003258
Random_3SAT_200Literals_1234567_32.cnf,200,0.003203
Random_3SAT_200Literals_1234567_33.cnf,200,0.000211
Random_3SAT_200Literals_1234567_34.cnf,200,0.020145
Random_3SAT_200Literals_1234567_35.cnf,200,0.001126
Random_3SAT_200Literals_1234567_36.cnf,200,0.000187
Random_3SAT_200Literals_1234567_37.cnf,200,0.001823
Random_3SAT_200Literals_1234567_38.cnf,200,0.004026
Random_3SAT_200Literals_1234567_39.cnf,200,0.005558
Random_3SAT_200Literals_1234567_40.cnf,200,0.019629
Random_3SAT_200Literals_1234567_41.cnf,200,0.000998
Random_3SAT_200Literals_1234567_42.cnf,200,0.002506
Random_3SAT_200Literals_1234567_43.cnf,200,0.003134
Random_3SAT_200Literals_1234567_44.cnf,200,0.001733
Random_3SAT_200Literals_1234567_45.cnf,200,0.002563
Random_3SAT_200Literals_1234567_46.cnf,200,0.000420
Random_3SAT_200Literals_1234567_47.cnf,200,0.011633
Random_3SAT_200Literals_1234567_48.cnf,200,0.001193
